origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,192.36,0
Algeria,12,217.40916666666666,0
Angola,4,188.0025,0
Argentina,20,151.7065,2
Armenia,2,245.255,0
Australia,147,134.29197278911565,37
Austria,163,140.29067484662576,17
Azerbaijan,3,199.13666666666668,0
Bahamas,1,168.54,0
Bahrain,3,257.09,0
Bangladesh,14,151.81071428571428,2
Belarus,1,0.51,1
Belgium,54,127.40481481481481,10
Bolivia,1,251.15,0
Brazil,139,153.09798561151078,11
Brunei Darussalam,2,182.8,0
Bulgaria,15,210.388,0
Cambodia,2,91.22999999999999,0
Canada,225,132.9664,54
Chile,27,195.90370370370368,2
China,243,193.69765432098765,14
Colombia,15,97.94066666666666,6
Croatia,8,165.36625,0
Cyprus,1,221.73,0
Czech Republic,51,116.34294117647059,2
Denmark,46,131.0254347826087,1
Dominican Republic,3,255.6833333333333,0
Ecuador,2,107.57000000000001,0
Egypt,35,204.66657142857142,1
Estonia,8,143.4775,2
Ethiopia,7,134.01714285714286,2
Finland,50,130.387,7
France,260,135.7518918918919,27
Georgia,6,103.195,3
Germany,395,145.35106329113924,22
Greece,56,150.48428571428573,6
Guatemala,7,30.623333333333335,3
Hungary,63,177.0326984126984,3
Iceland,10,177.57999999999998,2
India,198,172.07848484848486,11
Indonesia,28,152.28964285714284,0
Iraq,1,275.64,0
Ireland,297,184.57343434343434,18
Islamic Republic of Iran,1,283.13,0
Israel,31,177.43,6
Italy,38,95.83684210526316,1
Japan,161,175.1862732919255,18
Jordan,11,217.95909090909092,0
Kazakhstan,1,189.9,0
Kenya,1,134.41,0
Kingdom of the Netherlands,127,152.0659842519685,9
Kuwait,4,168.10500000000002,1
Lao People's Democratic Republic,1,177.77,0
Latvia,34,158.23970588235292,2
Lebanon,2,224.12,0
Libyan Arab Jamahiriya,2,237.525,0
Lithuania,20,172.7135,3
Luxembourg,38,180.1276315789474,2
Malaysia,53,165.10075471698113,2
Malta,173,181.8705780346821,17
Mexico,32,132.946875,12
Morocco,24,206.02958333333333,1
Myanmar,3,139.24666666666667,0
Nepal,5,156.748,0
New Zealand,6,20.650000000000002,3
Nigeria,1,249.68,0
Norway,70,145.33228571428572,3
Oman,3,221.63666666666668,0
Pakistan,1,198.37,0
Panama,10,224.525,0
Paraguay,1,0.51,1
Philippines,40,155.4975,5
Poland,139,158.8658273381295,5
Portugal,75,166.51613333333333,8
Qatar,52,208.60865384615383,1
Republic of Korea,100,188.19119999999998,7
Republic of Moldova,4,216.7225,0
Romania,22,160.29136363636363,2
Russian Federation,51,152.0878431372549,0
Rwanda,1,185.63,0
San Marino,5,151.124,0
Saudi Arabia,20,218.58499999999998,1
Senegal,2,62.379999999999995,0
Serbia,15,167.55133333333333,0
Singapore,37,213.55540540540542,3
Slovakia,3,72.03000000000002,1
Slovenia,8,88.23124999999999,1
South Africa,29,143.12724137931033,0
Spain,204,171.7549019607843,18
Sri Lanka,2,207.20499999999998,0
Sudan,1,0.0,0
Sweden,87,162.11206896551724,3
Switzerland,168,123.12071856287425,26
Syrian Arab Republic,1,211.37,0
Taiwan,56,183.36821428571426,5
Thailand,55,173.87745454545455,4
Tunisia,13,191.50307692307692,1
Turkey,244,200.81930327868855,14
Uganda,1,231.32,0
Ukraine,4,133.2825,0
United Arab Emirates,95,196.13021052631578,6
United Kingdom,585,147.31878632478634,31
United States,3464,146.82618538839156,306
Uruguay,1,65.57,0
Uzbekistan,7,288.23,0
Viet Nam,24,165.30708333333334,2
