icao24,origin_country,velocity,on_ground
a0f4f6,United States,231.66,False
ab5d4a,United States,167.36,False
c02207,Canada,243.85,False
84d283,Japan,291.14,False
4aca90,Sweden,141.35,False
4aca92,Sweden,186.84,False
4aca95,Sweden,223.74,False
5110cd,Estonia,16.1,False
4aca94,Sweden,241.75,False
a63a40,United States,212.5,False
4aca96,Sweden,237.77,False
a51a52,United States,75.12,False
4aca99,Sweden,101.71,False
4aca98,Sweden,248.82,False
a234ef,United States,229.29,False
84d28e,Japan,146.41,False
a5d1a0,United States,36.38,False
4aca8b,Sweden,227.92,False
4aca8a,Sweden,181.99,False
ac47de,United States,223.37,False
4aca8e,Sweden,252.91,False
a64d66,United States,98.26,False
8014e4,India,237.25,False
344495,Spain,134.42,False
8014e8,India,172.44,False
a0093e,United States,191.65,False
3d2543,Germany,54.65,False
e49eef,Brazil,149.86,False
4400ee,Austria,52.46,False
8014dc,India,197.82,False
3c5eee,Germany,200.02,False
e49ef1,Brazil,226.34,False
e49ef3,Brazil,125.64,False
4520cf,Bulgaria,153.52,False
85188c,Japan,242.7,False
471f8e,Hungary,179.28,False
4520ce,Bulgaria,231.76,False
392060,France,30.92,False
e49ef9,Brazil,132.79,False
a3b7cb,United States,235.04,False
86cec5,Japan,154.85,False
344481,Spain,81.28,False
8014ed,India,243.34,False
4520d4,Bulgaria,217.71,False
a39d9b,United States,0.06,False
8014ef,India,45.81,False
a3a4b5,United States,55.34,False
471f9a,Hungary,213.21,False
8014ea,India,10.29,True
471f9e,Hungary,216.95,False
e48ba9,Brazil,233.07,False
8014c0,India,115.75,False
343141,Spain,211.02,False
8a043a,Indonesia,71.55,False
392035,France,52.0,False
a40d7a,United States,0.0,True
3f6533,Germany,236.31,False
7c1c70,Australia,77.08,False
c04829,Canada,215.0,False
acba1b,United States,6.94,True
a2ba4f,United States,203.24,False
a3b7f4,United States,236.29,False
e49ed4,Brazil,142.0,False
8014c8,India,215.55,False
471f6e,Hungary,212.9,False
e49ed5,Brazil,222.0,False
e0b281,Argentina,247.39,False
87453a,Japan,120.78,False
4520eb,Bulgaria,236.57,False
a4d7e4,United States,236.38,False
86cee7,Japan,257.57,False
8014d8,India,140.17,False
a39d95,United States,238.88,False
abad6c,United States,193.38,False
aa927a,United States,199.56,False
8014ce,India,240.09,False
344459,Spain,220.34,False
4a2021,Romania,231.22,False
471f69,Hungary,77.38,False
4a2022,Romania,232.67,False
392095,France,46.61,False
471f66,Hungary,219.62,False
471f67,Hungary,185.91,False
e4a6ff,Brazil,92.71,False
471f64,Hungary,123.65,False
a09322,United States,201.63,False
39208a,France,49.27,False
471f65,Hungary,126.59,False
471f62,Hungary,178.21,False
a99a3d,United States,129.61,False
7809a5,China,221.1,False
a99a52,United States,197.94,False
3c17d8,Germany,0.0,True
4400c7,Austria,245.36,False
344445,Spain,210.2,False
471f77,Hungary,143.1,False
471f78,Hungary,244.48,False
471f70,Hungary,203.84,False
471f75,Hungary,237.4,False
a03ce6,United States,189.82,False
343104,Spain,65.35,False
471f5c,Hungary,236.45,False
4400b2,Austria,221.52,False
e49f92,Brazil,149.08,False
a00978,United States,44.43,False
a59601,United States,237.82,False
e48c4d,Brazil,140.57,False
469c25,Greece,55.26,False
4520aa,Bulgaria,220.87,False
471f58,Hungary,210.5,False
a23613,United States,59.93,False
34440b,Spain,226.77,False
a3a61b,United States,258.64,False
a594fa,United States,227.08,False
a88d3c,United States,223.91,False
48f98f,Poland,39.1,False
a88d47,United States,224.34,False
344409,Spain,133.19,False
5003d8,San Marino,180.01,False
a88d49,United States,36.21,False
471f36,Hungary,231.15,False
a40ca4,United States,265.97,False
471f37,Hungary,230.51,False
471f38,Hungary,229.98,False
801603,India,202.42,False
48d169,Poland,44.39,False
471f31,Hungary,196.81,False
471f32,Hungary,203.35,False
801608,India,215.17,False
0d1218,Mexico,0.0,True
471f02,Hungary,224.51,False
471f03,Hungary,173.96,False
471f01,Hungary,85.9,False
471f06,Hungary,215.05,False
3d37a4,Germany,59.43,False
a27cc1,United States,75.38,False
4b405b,Switzerland,64.77,False
a76d90,United States,229.2,False
3ffbe3,Germany,49.5,False
885282,Thailand,125.01,False
a24985,United States,42.66,False
3ffbcc,Germany,64.62,False
80174c,India,96.25,False
a7cfad,United States,206.93,False
aa8114,United States,275.87,False
a46345,United States,0.0,True
407b4d,United Kingdom,77.0,False
407b57,United Kingdom,121.93,False
a7cfb7,United States,0.06,True
80175a,India,0.06,True
a2ccdf,United States,36.41,False
3eee60,Germany,30.37,False
abadc0,United States,217.45,False
e49f43,Brazil,208.9,False
a47662,United States,7.85,False
800441,India,200.55,False
c07e32,Canada,94.35,False
801778,India,257.56,False
801775,India,227.31,False
a8592c,United States,266.82,False
a40cca,United States,60.92,False
a41ffc,United States,66.57,False
407b2c,United Kingdom,77.81,False
80172c,India,255.15,False
a5d31f,United States,78.58,False
a1f00e,United States,182.96,False
abadd6,United States,100.66,False
ad4419,United States,51.44,False
ad574f,United States,222.7,False
ac2439,United States,231.42,False
80172d,India,205.23,False
47b372,Norway,52.63,False
80173c,India,268.04,False
a73981,United States,48.04,False
407b24,United Kingdom,74.21,False
c035d4,Canada,152.54,False
a1acdb,United States,175.21,False
47a039,Norway,220.25,False
a64cdb,United States,112.16,False
00c45d,South Africa,244.28,False
a2107b,United States,0.0,True
407b8b,United Kingdom,232.63,False
a5f938,United States,220.96,False
3c4b31,Germany,254.93,False
ad3109,United States,35.06,False
e49f5a,Brazil,201.56,False
a4d946,United States,213.43,False
ab4af1,United States,234.13,False
ab0485,United States,266.65,False
3430cd,Spain,227.06,False
3430cc,Spain,0.0,True
80179b,India,201.32,False
3c4b35,Germany,267.93,False
39cc8a,France,97.32,False
a9ea5d,United States,161.37,False
a3ecc8,United States,68.94,False
407b80,United Kingdom,29.57,False
a3a657,United States,118.86,False
a8dd7b,United States,262.93,False
800448,India,211.71,False
ad444d,United States,222.59,False
a0808f,United States,278.68,False
801783,India,223.35,False
a52cc8,United States,256.66,False
407b70,United Kingdom,240.02,False
778823,Syrian Arab Republic,211.37,False
ac379a,United States,230.06,False
80177c,India,141.66,False
80177d,India,75.65,False
a4634b,United States,193.28,False
ad4470,United States,120.26,False
a008c5,United States,230.41,False
a3fffc,United States,226.22,False
a008c9,United States,229.9,False
a3568e,United States,81.23,False
801798,India,207.15,False
a3a65f,United States,259.29,False
3c4b4c,Germany,224.97,False
a39e0c,United States,201.63,False
506fab,Slovenia,0.0,True
a82047,United States,37.59,False
