icao24,origin_country,velocity,on_ground
39de4f,France,220.25,False
39de4e,France,195.32,False
c07d0b,Canada,51.49,False
3ffc29,Germany,49.29,False
ab1644,United States,228.94,False
39de4b,France,233.27,False
39de4d,France,112.02,False
39de4c,France,231.73,False
39de57,France,240.39,False
a77ec5,United States,149.99,False
801640,India,105.7,False
39de58,France,228.44,False
ab6fdd,United States,197.04,False
801645,India,5.92,True
c07d20,Canada,154.75,False
a73857,United States,129.02,False
3cf0b8,Germany,206.5,False
39de50,France,238.7,False
80162f,India,218.64,False
39de53,France,6.94,True
488280,Poland,38.19,False
39de54,France,236.56,False
a34230,United States,223.87,False
80163c,India,172.98,False
a3b88e,United States,248.8,False
aed922,United States,107.67,False
00b22c,South Africa,241.47,False
a36898,United States,228.87,False
3ffc03,Germany,38.49,False
a7252f,United States,62.93,False
801618,India,202.49,False
801619,India,215.67,False
801623,India,167.38,False
a1befc,United States,302.59,False
801622,India,6.17,True
80160d,India,211.69,False
aaf656,United States,121.6,False
ad5622,United States,234.27,False
801627,India,231.83,False
ad5628,United States,122.45,False
801626,India,0.45,True
a89eb9,United States,35.36,False
a0e250,United States,286.97,False
488252,Poland,9.77,True
801631,India,58.67,False
39de45,France,236.55,False
407a05,United Kingdom,181.99,False
a1025a,United States,0.77,True
39de48,France,230.43,False
407a08,United Kingdom,64.85,False
ad694c,United States,231.95,False
39de49,France,231.5,False
51113f,Estonia,133.9,False
407a06,United Kingdom,2.83,True
ae1fac,United States,46.61,False
801633,India,221.99,False
a34215,United States,200.46,False
a34218,United States,81.05,False
80161d,India,188.96,False
a36878,United States,222.95,False
39de42,France,243.33,False
407a01,United Kingdom,92.64,False
39de44,France,240.76,False
80166c,India,81.98,False
ae1fe8,United States,22.79,False
511188,Estonia,214.86,False
ac232e,United States,227.71,False
511189,Estonia,232.1,False
abacd2,United States,2.31,True
4acb03,Sweden,233.91,False
488241,Poland,68.14,False
4acb04,Sweden,218.81,False
4a32a3,Romania,57.37,False
51116f,Estonia,216.53,False
4bc8c9,Turkey,231.72,False
4bc8c6,Turkey,204.04,False
4bc8c4,Turkey,223.22,False
4bc8c5,Turkey,229.64,False
4bc8c2,Turkey,226.01,False
4bc8c3,Turkey,230.07,False
